,NER
0,arvindkejriw raghavchadha
1,form bhark aaya aur
2,indian
3,everi particl
4,gujaratfirst aapmuktgujaratcongressmuktgujarat
5,amankayamhai
6,ma modi che
7,bush
8,ps ak gujarati
9,realchandan jankibaat
10,saturday
11,portug letthatsinkin
12,kankad jiex cm
13,arvindkejriw gopalitalia
14,aaprajkot gulabmatiala
15,imandar rajniti mate
16,jamnagar nominationread ani stori
17,damag bridg
18,morbi fame
19,kejriw
20,replac varundhawan
21,waghodia seat fail
22,onli arvindkejriw
23,bangladeshindvsban
24,north gujarat
25,wud
26,shikhardhawan
27,an hour
28,jaishriram hindutava
29,a week ago
30,kumar
31,the year old
32,sanjusamson hardikpandya
33,rajiv kumar
34,gujrat
35,rahul gandhi
36,ho gaya
37,kalpakkekr chaudhryshankar
38,narr
39,jamnagar north assembl
40,bana
41,jamnagar gujarat
42,jaspreetbumrah arshdeepsingh mohmmadshami
43,mehsana district gujaratelect
44,islam
45,ko
46,anuragdhanda arvindkejriw aamaadmiparti
47,gohil congress
48,ravikishan newsong
49,nationalbjp
50,gopalitalia arvindkejriw
51,gujarat news
52,sakshijoshii
53,ab nhi gujratwithkejriw
54,india
55,arvindkejriw scam
56,kalupur railway
57,mean gujarati peopl
58,remedyindian mohfwindia
59,samir dave
60,weightindian
61,drprashantkorat
62,aaioffici jmscindia mocagoi
63,damag control
64,jamnagar pictur
65,hai u mdarchd cricket fan
66,parivartan
67,klrahul
68,the world cup
69,arvindkejriw bjp
70,day
71,aapgujarat gopalitalia
72,nonindiancasteistbccigujaratelectionsshikhardhawan
73,cm arvind kejriw
74,lover tum logo inh banaya aur
75,rivaba contest gujarat
76,vikrantgupta sushantmehraat
77,gujaratassemblyelect jairamthakur
78,newli inaugur
79,kuldeepsen replac
80,queri
81,aaptelangana
82,nsg
83,leftrightcentr shubh
84,anil shukla
85,se laga gujarat
86,jamnagar market
87,shashi tharoor leav
88,santiagora drop
89,seriousha polit
90,sabarmati
91,centuri
92,arpankaydawala kshatriyadilip
93,ravindrajadejatak good
94,ji myfirstvoteformodi bharatmatakijai
95,amitshah bhai confid
96,thisaajtak kanchan jariwala
97,ketan
98,gopalitaliabhailadeng jeeteng ekmokokejriwaln
99,the day latest news
100,the last five year
101,teamindia bcci
102,amadavad udaipur
103,gandhi
104,mehsana
105,passeng
106,tmc
107,mla vikramaditya
108,antiincumbencyanupama
109,associ editor dev ankur
110,reshmapatel anmolgaganmann ramdhaduk
111,east kanchan jariwalagujarat
112,namovot
113,gandhi vadra cm
114,dhanduka assembl gujarat
115,kutiyan mla
116,aamaadmiparti bjpgujarat
117,indonesian
118,kamrej
119,gujarat river
120,paraskghelaanii satishrathod sureshseshadri anandisanatani
121,peoplegujarat
122,danta ac
123,jerzeyredhead sekoufranklin smartnew
124,toosh
125,honbl
126,cm arvindkejriw
127,gujaratassemblypol delhi
128,candidatesgujaratassemblypol gujaratassemblyelect congressforgujarat
129,econom n social
130,nationfirst namo
131,aapgujarat jay ho
132,morbi gujaratelectionsmorbitragedi
133,kanhaiyakumar
134,reshmapatel manojsorathiya
135,hindutvayogi ji believ
136,nehaamin ahmedabadmirror
137,ravindra jadeja
138,kishann
139,votekargujarat
140,kankariya lake
141,gujaratassemblypollsbaarbaarbhajpa
142,union home minist amit shah gujaratassemblypol gujaratelect
143,himachalnew
144,lastmnth
145,three cm
146,gujaratelectionskitnabadlagujarat
147,jan poll
148,song aapgujarat
149,correctionimro bcci
150,ahmedabad union
151,ani meanwhil
152,forthcom
153,gujarat gujaratelect gujaratelect
154,season
155,sourabhkumar indvsban
156,the econom activ
157,manish sisodia
158,gujarat saurashtra
159,east kanchan jariwala
160,themselv
161,courtesi
162,surat east
163,cm chouhanshivraj
164,mahidharpur area
165,bharatiya janata parti bjp nation
166,jamnagar airportgujaratelect
